species,category
eriochloa contracta,
agastache mexicana,
potamogeton nodosus,
tridentopsis mutica,
cosmos bipinnatus,
euploca convolvulacea,
prunus angustifolia,
iris pseudacorus,
cylindropuntia leptocaulis,
salvia roemeriana,
coreopsis wrightii,
elymus smithii,
urochloa texana,
morus indica,
monarda citriodora citriodora,
zinnia elegans,
coreopsis basalis,
datura wrightii,
carya tomentosa,
vitis cinerea,
sisyrinchium ensigerum,
nama hispida,
abutilon theophrasti,
scirpus pendulus,
andropogon gerardi,
crinum bulbispermum,
lolium perenne,
senna lindheimeriana,
muhlenbergia paniculata,
paspalum floridanum,
crocanthemum georgianum,
cirsium undulatum,
sideranthus texanus drummondii,
amaranthus palmeri,
hexasepalum teres,
symphyotrichum patens,
evolvulus nuttallianus,
linum imbricatum,
argythamnia mercurialina,
persicaria amphibia emersa,
desmodium paniculatum,
croton lindheimerianus,
vitis vulpina,
trifolium pratense,
urtica chamaedryoides,
nemastylis geminiflora,
ceanothus herbaceus,
briza minor,
mimosa quadrivalvis,
tragia ramosa,
cyperus ochraceus,
melampodium leucanthum,
euphorbia maculata,
verbena urticifolia,
conoclinium coelestinum,
plantago rhodosperma,
oxalis triangularis,
plantago wrightiana,
brickellia eupatorioides,
hypericum hypericoides,
ibervillea lindheimeri,
borago officinalis,
passiflora incarnata × cincinnata,
lolium × boucheanum,
symphyotrichum oblongifolium,
delphinium carolinianum,
fraxinus berlandieriana,
limnodea arkansana,
tetraneuris scaposa,
asclepias verticillata,
pombalia verticillata,
lespedeza cuneata,
trifolium incarnatum,
mirabilis jalapa,
prunus caroliniana,
chilopsis linearis,
rubus oklahomus,
codiaeum variegatum,
hydrangea macrophylla,
azadirachta indica,
penstemon laxiflorus,
dichanthelium oligosanthes,
liatris punctata mucronata,
opuntia lindheimeri,
verbascum blattaria,
physostegia pulchella,
smilax rotundifolia,
solanum,
maurandella antirrhiniflora,
eryngium leavenworthii,
persicaria virginiana,
euphorbia ophthalmica,
escobaria missouriensis,
plantago helleri,
mimosa quadrivalvis platycarpa,
eriogonum longifolium longifolium,
lablab purpureus,
lemna minor,
physaria engelmannii,
lactuca saligna,
trifolium arvense,
carex microdonta,
digitaria sanguinalis,
funastrum crispum,
muscari neglectum,
pediomelum digitatum,
allium vineale,
erodium texanum,
alophia drummondii,
aegilops cylindrica,
phacelia congesta,
ceratophyllum demersum,
agrostis hyemalis,
packera obovata,
phyllanthus urinaria,
aphyllon ludovicianum,
zornia bracteata,
sporobolus cryptandrus,
celtis reticulata,
sorghum bicolor,
ludwigia octovalvis,
cyperus esculentus,
quercus similis,
juncus repens,
cyperus retroflexus,
galium texense,
dichondra repens,
berberis glaucocarpa,
veronica biloba,
buxus colchica,
cymbidium goeringii,
aristolochia californica,
houttuynia cordata,
liriope spicata,
dyssodia tagetiflora,
causonis eurynema,
lonicera ruprechtiana,
leersia virginica,
wedelia hispida,
vicia sativa,
trifolium campestre,
cyperus brevifolius,
euphorbia spathulata,
poa annua,
berberis trifoliolata,
leucaena retusa,
phlox pilosa,
euphorbia missurica,
broussonetia papyrifera,
lepidium virginicum,
toxicodendron pubescens,
solanum tuberosum,
carex grisea,
daucus pusillus,
anatherum virginicum,
hedeoma hispida,
geranium dissectum,
linaria maroccana,
morus nigra,
avena sativa,
taraxacum,
bletia spicata,
geranium carolinianum,
magnolia grandiflora,
oxalis debilis,
bouteloua gracilis,
scutellaria wrightii,
solidago altissima,
sagittaria latifolia,
amphicarpaea bracteata,
youngia japonica,
toxicodendron radicans negundo,
liriope muscari,
polycarpon tetraphyllum,
astragalus canadensis,
phemeranthus rugospermus,
hedera helix,
amsonia ciliata,
asimina triloba,
ipomoea purpurea,
myagrum perfoliatum,
valerianella radiata,
lepidium densiflorum,
verbena bracteata,
ageratina havanensis,
prunella vulgaris,
podophyllum peltatum,
lechea san-sabeana,
crocanthemum rosmarinifolium,
sideranthus texanus,
cosmos sulphureus,
ptelea trifoliata,
euonymus atropurpureus,
echinodorus berteroi,
forestiera acuminata,
catapodium rigidum,
papaver rhoeas,
prunus laurocerasus,
cynanchum laeve,
passiflora incarnata alba,
medicago polymorpha,
morus rubra,
camassia scilloides,
warnockia scutellarioides,
phemeranthus parviflorus,
bromus tectorum,
persicaria bicornis,
pediomelum tenuiflorum,
saururus cernuus,
escobaria missouriensis missouriensis,
froelichia floridana,
stillingia sylvatica,
yucca necopina,
aristolochia tomentosa,
digitaria cognata,
hymenopappus artemisiifolius,
rumex hastatulus,
senna marilandica,
spirodela polyrhiza,
eragrostis curtipedicellata,
ambrosia artemisiifolia,
physaria gracilis,
ulmus alata,
strophostyles leiosperma,
panicum hallii,
argemone aurantiaca,
erigeron divaricatus,
catalpa speciosa,
festuca octoflora,
zea mays,
corallorhiza wisteriana,
aesculus glabra arguta,
muhlenbergia reverchonii,
quercus nigra,
scandix pecten-veneris,
fleischmannia incarnata,
tropaeolum majus,
linaria texana,
galium virgatum,
marshallia caespitosa signata,
buchnera americana,
stenotaphrum secundatum,
hedypnois rhagadioloides,
citrus trifoliata,
delphinium carolinianum virescens,
vicia ludoviciana,
mimosa nuttallii,
salvia uliginosa,
quercus virginiana,
agave ovatifolia,
quercus velutina,
verbesina helianthoides,
